GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NanoHttpd-apache file upload integration,org.nanohttpd.fileupload,NanoFileUpload.NanoHttpdContext,0,39,0,0,0,13,0,6,0,6
NanoHttpd-apache file upload integration,org.nanohttpd.fileupload,NanoFileUpload,0,39,1,3,0,6,1,6,0,5
